timestamp	files	outcome	gate_result	notes
2026-06-23T00:00:00Z	dot_config/workspaces/profiles/proxy/Dockerfile	kept	no local docker; build-time getcap assert deferred to CI	setcap cap_net_admin file-caps for xray + libcap2-bin/iproute2; discarded alternatives: ambient capsh, run-as-root
2026-06-23T10:54:03Z	dot_config/workspaces/profiles/proxy/entrypoint.sh	kept	bash -n clean; no local docker	per-iface rp_filter=0 + route_localnet=1 in entrypoint (C2 defense-in-depth half), no || true fail-closed
2026-06-23T13:11:59Z	dot_config/workspaces/profiles/proxy/entrypoint.sh	kept	bash -n + shellcheck clean (lone SC2015 pre-existing); no local docker, validated via cli CI gate	fix crash-loop: /proc/sys is read-only in default containers (runc readonlyPaths) so fail-closed rp_filter/route_localnet writes EROFS-aborted before xray; now best-effort write + ASSERT effective values (fail closed only when genuinely wrong). Runtime supplies values via docker --sysctl (cli docker.go)
2026-06-24T06:35:40Z	dot_config/workspaces/profiles/proxy/entrypoint.sh	kept	bash -n + shellcheck clean (lone pre-existing SC2015); no local docker, validated via cli CI gate	self-egress capture migrated nat OUTPUT REDIRECT -> mangle OUTPUT XRAY_SELF MARK (tcp+udp): fixes loopback-guard crash (real dst preserved, no DNAT-to-127.0.0.1) + closes latent UDP self-egress leak (REDIRECT was nat/TCP-only); uid-owner xray RETURN rule #1, 127/8+private rail via PRIVATE, INPUT mark-accept (#4039), ip6tables OUTPUT fail-closed DROP; discarded: 2nd REDIRECT listener (breaks single-inbound contract, still TCP-only)
2026-06-24T12:00:00Z	.chezmoiexternals/ws.toml.tmpl .chezmoiscripts/run_onchange_after_install-ws.sh.tmpl	kept	chezmoi execute-template + shellcheck both exit 0	SP-2/H9: drop unverified releases/latest chezmoi external; replace with version-pinned run_onchange script invoking canonical installer with --require-signature; WS_VERSION=v0.7.1 placeholder — owner defers to first signed tag
2026-06-26T08:39:25Z	dot_config/workspaces/profiles/proxy/entrypoint.sh	kept	bash -n exit 0; shellcheck exit 0 (lone pre-existing SC2015 unchanged, no new findings)	H4 entrypoint IPv6 fail-closed (DROP load-bearing no || true, sysctl-aware fatality: error+exit1 when ip6tables absent/DROP-fails and disable_ipv6!=1)
2026-06-26T00:00:00Z	dot_config/workspaces/profiles/proxy/Dockerfile scripts/tests/test-proxy-image-dns-tool.bats	kept	bats scripts/tests green; no local docker, dig presence asserted in ws-cli datapath gate	H10 UDP/DNS leak probe: proxy image ships dig (bind9-dnsutils) so ProbeDNS can execute from inside the proxy container; single-line apt install addition + bats guard
2026-07-01T08:30:54Z	dot_config/workspaces/profiles/proxy/Dockerfile	kept	digest-format grep gate pass; entrypoint hash unchanged; real build proof = ws-cli datapath CI gate (no local docker)	D6-06: pin proxy base image FROM to ubuntu:24.04@sha256:786a8b55...dc54 (manifest-list index digest); single-line FROM change, human tag + runbook pointer in trailing comment
2026-07-01T10:29:36Z	dot_config/workspaces/profiles/proxy/Dockerfile	kept	FROM=2-token assert pass; no-inline-# assert pass; real docker build proof = ws-cli datapath gate (was RED on the inline comment)	D6-06 fix (attempt 2): Dockerfile forbids inline comments on instruction lines — trailing '# ...' after FROM was parsed as args -> 'FROM requires one or three arguments', broke datapath docker build in ws-cli#26. Moved tag note to standalone # lines above FROM; FROM now clean 2-token. Digest unchanged.
2026-07-03T07:06:48Z	.github/workflows/bats.yml .github/workflows/validate.yml	kept	zizmor 1.25.2 --offline --persona regular exit 0, 0 findings (was exit 13, 9 findings); yaml safe_load valid on both files; workflow-factory validate-workflow-security.sh OK	add top-level permissions: contents:read to both workflows + gitleaks job permissions: contents:read/pull-requests:write; persist-credentials:false on all 4 checkout steps; additive only, no steps removed or weakened
2026-07-03T08:11:06Z	.chezmoiscripts/run_onchange_after_install-ws.sh.tmpl	kept	one-line diff; template renders	repair broken WS_VERSION pin v0.7.1 (tag never existed) -> v0.8.0 (published, signature-verified release)
2026-07-03T08:23:57Z	factory.json factory.lock .gitignore .gitleaks.toml + 114 materialized files (.claude/ .factory/ .github/ Makefile.factory repos/ scripts/ci scripts/lib scripts/check-integration-*.sh scripts/tests/test-check-integration-*.sh scripts/gen-hooks-readme.sh scripts/integration-check.sh scripts/setup-branch-protection.sh .shellcheckrc .planning/LEDGER.example.tsv)	kept	factory install exit 0 (116 files, closure=[enforcement-floor, owner-floor, workflow-spine]); factory verify exit 0; lock release_digest == sha256 of release tarball; provenance.verified=true, sbom.verified=true, no --allow-unsigned; hooks-test/ci-scripts-test/scripts-test all 0; gitleaks pre-commit passed	Cycle 1 canary install of workflow-factory v1.0.1 (minimal profile + workflow-spine + owner-floor, secrets-deep removed per C-1 so .gitleaks.toml stays consumer-owned); allowlisted vendored .claude/hooks/tests/ + scripts/ci/tests/ scanner-fixture paths in .gitleaks.toml (mirrors upstream workflow-factory own config) after local pre-commit gitleaks hook flagged a documented-fake GitLab token in the vendored test-secrets-scan.sh fixture; discarded alternatives: --no-verify bypass (forbidden), omitting the fixture file from the commit (breaks closure completeness)
2026-07-03T08:24:37Z	CLAUDE.md .chezmoiignore	kept	chezmoi apply --dry-run --source "$PWD" behaves identically to origin/main baseline (pre-existing unrelated obsidian.devpod template warning only); chezmoi ignored --source "$PWD" confirms all 12 appended entries recognized; check-integration-rubric.sh passes (CLAUDE.md references the rubric)	Seed minimal CLAUDE.md (C-2: references .claude/review-rubric.md + .claude/discipline.md, durable rubric-gate requirement) and extend .chezmoiignore (C-3) with factory-materialized non-dot paths so chezmoi apply never copies repo tooling into $HOME
2026-07-03T08:43:20Z	.github/workflows/validate.yml	kept	bash -n over corrected file set: 0 FAIL	shell-syntax gate: exclude non-shell test fixtures (vendored .py/.yml) from find
2026-07-03T08:52:02Z	factory.lock,scripts/ci/tests/test-check-schema.sh	kept	factory verify 0; schema test 8/8+2SKIP	factory update v1.0.1->v1.0.2 (closure-portable schema test)
